Dia,Hora,EXP_NEN,EXP_NESE,EXP_NE,EXP_SULSECO,EXP_NS
1,00:00,2876.2,6233.4,9109.6,227.90000000000006,3196.6000000000004
1,00:30,3061.3,6145.8,9207.1,248.99999999999994,3174.9
1,01:00,3225.0,5831.3,9056.3,3236.2000000000003,2788.6
1,01:30,3088.8,6114.4,9203.2,1785.5,3077.7
1,02:00,3143.8,5516.4,8660.2,3130.7,2489.1
1,02:30,3290.0,5411.7,8701.7,3041.1,2361.8
1,03:00,2908.1,5227.4,8135.5,2814.9,2455.1
1,03:30,2881.3999999999996,5284.1,8165.5,2344.4,2565.7
1,04:00,2869.1,5531.2,8400.3,559.6000000000001,2930.7
1,04:30,2953.6,5413.6,8367.2,1422.7,2691.1
1,05:00,2981.0,5176.2,8157.2,2335.4,2545.4
1,05:30,3376.9,5225.299999999999,8602.2,1856.8999999999999,2295.0
1,06:00,3907.7,6865.5,10773.2,-1319.9,3460.9
1,06:30,4166.5,6401.200000000001,10567.7,1509.1999999999998,2814.9
1,07:00,6317.2,7932.9,14250.1,780.6999999999999,2729.5
1,07:30,6329.7,8018.3,14348.0,218.7,2818.6
1,08:00,7197.7,7673.5,14871.2,996.7,2117.6
1,08:30,7160.7,7982.5,15143.2,150.70000000000005,2410.5
1,09:00,6655.2,8122.900000000001,14778.1,-314.10000000000014,2922.4
1,09:30,6635.2,8397.2,15032.4,-1843.9,3195.3
1,10:00,6427.8,7683.5,14111.3,1401.1,2887.1
1,10:30,6294.6,7797.6,14092.2,1437.6999999999998,3090.9
1,11:00,5592.3,7963.2,13555.5,1245.9,3720.3
1,11:30,5572.0,8016.400000000001,13588.4,1142.8999999999999,3793.2
1,12:00,4888.9,7294.5,12183.4,2316.9,3628.6
1,12:30,4773.5,7549.0,12322.5,2081.1,3796.3999999999996
1,13:00,4785.7,7285.700000000001,12071.4,1614.4,3719.5
1,13:30,4426.4,7489.7,11916.1,958.1999999999999,4005.7
1,14:00,4289.5,6538.5,10828.0,2683.1,3413.2
1,14:30,4349.6,6709.4,11059.0,2398.2,3533.7
1,15:00,4317.5,6318.5,10636.0,3216.2999999999997,3193.7
1,15:30,4387.2,6294.7,10681.9,4157.1,3148.7
1,16:00,3709.5,6141.5,9851.0,3992.6,3175.9
1,16:30,3648.7,5568.1,9216.8,5488.9,2511.3
1,17:00,3020.2,4806.5,7826.7,5884.4,2259.4
1,17:30,3027.0,5469.299999999999,8496.3,5459.7,2789.3
1,18:00,2765.4,6344.7,9110.1,404.8999999999999,3500.9
1,18:30,2995.8,6822.7,9818.5,269.3999999999999,3728.2
1,19:00,3048.2000000000003,7072.0,10120.2,243.09999999999988,3983.2
1,19:30,3202.2,6983.3,10185.5,739.4000000000001,3988.7
1,20:00,3372.8,7349.5,10722.3,655.0999999999999,4016.0
1,20:30,3264.1,7021.0,10285.1,579.9000000000001,3797.2
1,21:00,3362.3999999999996,7255.7,10618.1,129.6,3848.2
1,21:30,3382.8,7101.200000000001,10484.0,104.79999999999987,3699.9
1,22:00,3641.1,6546.599999999999,10187.7,4278.4,3098.5
1,22:30,3745.5,6387.7,10133.2,5196.3,2904.4
1,23:00,3297.6,6651.1,9948.7,1160.5,3584.1000000000004
1,23:30,2935.9,5795.2,8731.1,408.69999999999993,3139.1000000000004
2,00:00,3148.3,5701.0,8849.3,861.4,3032.8999999999996
2,00:30,3359.1,5442.6,8801.7,3104.1000000000004,2656.7
2,01:00,3349.1,5252.4,8601.5,3292.9,2505.3
2,01:30,3378.1,5111.0,8489.1,4298.2,2440.5
2,02:00,2861.6,4955.5,7817.1,2160.1,2844.1
2,02:30,2702.7,5004.3,7707.0,931.3,2969.4
2,03:00,2610.1,4517.5,7127.6,2867.2,2772.6
2,03:30,2535.8,4543.4,7079.200000000001,2679.2,2867.0
2,04:00,2636.0,4898.1,7534.1,2468.6,2735.8
2,04:30,2629.3,5019.7,7649.0,1636.2,2826.0
2,05:00,2735.5,5222.5,7958.0,775.8000000000001,3050.7
2,05:30,3402.9,4025.7,7428.6,5162.3,1364.7
2,06:00,3440.5,5709.8,9150.3,2603.3,2928.2
2,06:30,3615.5,5849.0,9464.5,1363.5,2926.0
2,07:00,4710.5,6965.3,11675.800000000001,626.2,3052.3
2,07:30,4763.3,6853.5,11616.8,1639.1999999999998,2851.9
2,08:00,4708.9,6629.3,11338.199999999999,2235.4,2865.2
2,08:30,4673.3,6988.0,11661.3,237.6,3193.2
2,09:00,4704.8,6475.3,11180.1,2758.6,2750.8
2,09:30,4613.3,6998.0,11611.3,121.8,3224.3
2,10:00,4454.1,6786.1,11240.2,1948.8999999999999,3446.0
2,10:30,4190.6,7248.2,11438.8,656.7000000000002,3947.0
2,11:00,3909.5,6796.8,10706.300000000001,106.00000000000009,3841.5
2,11:30,3952.5,6333.0,10285.5,2589.7000000000003,3473.1
2,12:00,3766.6000000000004,6086.0,9852.6,1184.4,3557.2
2,12:30,3904.1,5331.5,9235.6,3493.0,2813.0
2,13:00,3869.2,5423.6,9292.8,3076.6,2968.5
2,13:30,3703.8,5887.4,9591.2,729.9,3507.6
2,14:00,3654.6000000000004,5524.9,9179.5,1752.1,3286.1
