Dia,Hora,FOZIB_MW,PVLARRQ_MW,CPVPVL_MW,XESTR_MW,XTRIO_MW
1,00:00,2512.0,199.97,676.52,200.0,200.0
1,00:30,2504.0,980.0,40.0,200.0,200.0
1,01:00,2496.0,982.0,40.0,200.0,200.0
1,01:30,2332.0,771.5,29.07,200.0,200.0
1,02:00,2168.0,207.63,679.4,200.0,200.0
1,02:30,1564.0,592.68,403.64,200.0,200.0
1,03:00,1057.0,230.0,800.0,200.0,200.0
1,03:30,1083.0,597.13,404.1,200.0,200.0
1,04:00,1130.0,614.0,420.0,200.0,200.0
1,04:30,1180.0,236.0,800.0,200.0,200.0
1,05:00,1155.0,201.0,420.0,200.0,200.0
1,05:30,958.0,1001.0,40.0,200.0,200.0
1,06:00,694.0,1002.0,40.0,200.0,200.0
1,06:30,694.0,207.0,420.0,200.0,200.0
1,07:00,694.0,1006.0,40.0,200.0,3346.0
1,07:30,694.0,1008.0,40.0,200.0,3486.0
1,08:00,694.0,1010.0,40.0,1462.0,4000.0
1,08:30,694.0,1012.0,40.0,1398.0,4000.0
1,09:00,694.0,1014.0,40.0,200.0,3990.0
1,09:30,694.0,1016.0,40.0,200.0,3976.0
1,10:00,694.0,1018.0,40.0,200.0,2680.0
1,10:30,694.0,1020.0,40.0,200.0,2682.0
1,11:00,694.0,1022.0,40.0,200.0,750.0
1,11:30,694.0,1024.0,40.0,200.0,728.0
1,12:00,694.0,646.0,420.0,200.0,200.0
1,12:30,694.0,268.0,800.0,200.0,200.0
1,13:00,925.0,1030.0,40.0,200.0,200.0
1,13:30,995.0,1032.0,40.0,200.0,200.0
1,14:00,1340.0,1034.0,40.0,200.0,200.0
1,14:30,1602.0,1036.0,40.0,200.0,200.0
1,15:00,1886.0,658.0,420.0,200.0,200.0
1,15:30,2300.0,280.0,800.0,200.0,200.0
1,16:00,2486.0,662.0,420.0,200.0,200.0
1,16:30,2462.0,664.0,420.0,200.0,200.0
1,17:00,3786.0,666.0,420.0,200.0,200.0
1,17:30,4935.0,668.0,420.0,200.0,200.0
1,18:00,4743.0,670.0,420.0,200.0,200.0
1,18:30,4743.0,255.0,420.0,200.0,200.0
1,19:00,4743.0,1054.0,40.0,200.0,200.0
1,19:30,4572.0,1056.0,40.0,200.0,200.0
1,20:00,4488.0,1058.0,40.0,200.0,200.0
1,20:30,4488.0,1060.0,40.0,200.0,200.0
1,21:00,4338.0,1062.0,40.0,200.0,200.0
1,21:30,4329.0,1064.0,40.0,200.0,200.0
1,22:00,3153.0,1066.0,40.0,200.0,200.0
1,22:30,2424.0,1068.0,40.0,200.0,200.0
1,23:00,4587.0,652.0,40.0,200.0,200.0
1,23:30,4758.0,692.0,420.0,200.0,200.0
2,00:00,3099.0,693.0,420.0,200.0,200.0
2,00:30,2386.0,315.0,800.0,200.0,200.0
2,01:00,1656.0,859.49,30.33,200.0,200.0
2,01:30,864.0,318.0,800.0,200.0,200.0
2,02:00,1912.0,700.0,420.0,200.0,200.0
2,02:30,1179.0,701.0,420.0,200.0,200.0
2,03:00,3618.0,1083.0,40.0,200.0,200.0
2,03:30,3348.0,325.0,800.0,200.0,200.0
2,04:00,2612.0,1086.0,40.0,200.0,200.0
2,04:30,2622.0,708.0,420.0,200.0,200.0
2,05:00,2248.0,1089.0,40.0,200.0,200.0
2,05:30,1986.0,1091.0,40.0,200.0,200.0
2,06:00,694.0,333.0,800.0,200.0,200.0
2,06:30,694.0,334.0,800.0,200.0,200.0
2,07:00,694.0,336.0,800.0,200.0,200.0
2,07:30,694.0,718.0,420.0,200.0,200.0
2,08:00,694.0,719.0,420.0,200.0,200.0
2,08:30,694.0,1101.0,40.0,200.0,200.0
2,09:00,694.0,342.0,800.0,200.0,200.0
2,09:30,694.0,724.0,420.0,200.0,200.0
2,10:00,694.0,346.0,800.0,200.0,200.0
2,10:30,694.0,727.0,420.0,200.0,200.0
2,11:00,694.0,349.0,800.0,200.0,200.0
2,11:30,694.0,1110.0,40.0,200.0,200.0
2,12:00,796.0,1112.0,40.0,200.0,200.0
2,12:30,961.0,1114.0,40.0,200.0,200.0
2,13:00,1278.0,1115.0,40.0,200.0,200.0
2,13:30,1670.0,1117.0,40.0,200.0,200.0
2,14:00,1686.0,1118.0,40.0,200.0,200.0
2,14:30,2460.0,1120.0,40.0,200.0,200.0
2,15:00,2700.0,362.0,800.0,200.0,200.0
2,15:30,3216.0,1123.0,40.0,200.0,200.0
2,16:00,4860.0,1125.0,40.0,200.0,200.0
