Dia,Hora,EXP_NEN,EXP_NESE,EXP_NE,EXP_SULSECO,EXP_NS
1,00:00,3186.0,6842.7,10028.699999999999,447.49999999999983,3430.7
1,00:30,3315.2,6813.3,10128.5,-353.20000000000005,3457.6
1,01:00,3531.9,6348.8,9880.7,2168.6,2958.1000000000004
1,01:30,3275.4,6965.9,10241.3,-1607.0,3610.7
1,02:00,3326.1,6104.1,9430.2,1478.0,2711.1
1,02:30,3253.7,6573.6,9827.3,-1507.6000000000001,3361.5
1,03:00,3194.7,5720.0,8914.7,1575.8999999999999,2621.4
1,03:30,3126.1000000000004,5758.5,8884.6,1458.9,2759.1
1,04:00,3303.6,5546.2,8849.8,1793.3,2589.2
1,04:30,3263.9,5704.3,8968.2,1704.4,2695.9
1,05:00,3088.0,5697.6,8785.6,871.3,2878.5
1,05:30,3171.3,6139.8,9311.1,-1024.8999999999999,3217.4
1,06:00,4139.5,7704.8,11844.3,-1842.3,3920.8
1,06:30,4170.1,8011.2,12181.3,-2133.1,4157.7
1,07:00,7847.8,7388.200000000001,15236.0,1962.3,1049.7
1,07:30,7788.6,7929.8,15718.4,460.7000000000001,1668.2
1,08:00,7974.6,8074.099999999999,16048.7,34.800000000000146,1703.2
1,08:30,8136.2,7729.2,15865.4,1470.8,1340.5
1,09:00,8266.3,7600.599999999999,15866.9,1444.5,1374.2
1,09:30,8073.6,8365.3,16438.9,-1765.0,2078.3
1,10:00,7642.9,7924.3,15567.2,685.9000000000001,2174.4
1,10:30,7777.0,7482.200000000001,15259.2,2161.4,1729.4
1,11:00,6645.5,8054.900000000001,14700.4,549.7,3092.0
1,11:30,6625.7,8059.700000000001,14685.400000000001,636.7000000000002,3127.6
1,12:00,5158.6,8409.1,13567.699999999999,-150.30000000000013,4312.3
1,12:30,5265.3,8086.8,13352.1,1581.8999999999999,3981.9
1,13:00,4973.1,7702.9,12676.0,2297.3,3887.1
1,13:30,5055.9,7619.2,12675.1,2351.4,3771.2
1,14:00,4674.9,7615.3,12290.2,1102.9,4086.0
1,14:30,4555.5,7409.1,11964.599999999999,1355.6000000000001,3945.7
1,15:00,4674.2,6948.0,11622.199999999999,2855.5,3503.6000000000004
1,15:30,4738.9,7093.6,11832.5,3054.9,3496.6
1,16:00,4309.2,6215.9,10525.1,5256.8,2805.1
1,16:30,4247.1,5931.8,10178.9,6159.5,2402.1
1,17:00,3284.3,5291.6,8575.9,5519.4,2431.7
1,17:30,2690.3,5639.200000000001,8329.5,1211.5,2941.9
1,18:00,3163.8999999999996,6922.5,10086.4,933.1,3773.2
1,18:30,3267.1,7257.700000000001,10524.8,478.20000000000016,3940.0
1,19:00,3597.0,7820.700000000001,11417.7,895.0999999999999,4212.4
1,19:30,3666.7,7813.4,11480.1,357.5999999999999,4282.6
1,20:00,3702.8,7929.900000000001,11632.7,12.900000000000023,4170.6
1,20:30,3571.0,7672.3,11243.300000000001,43.4,4092.7
1,21:00,3791.7,8137.5,11929.2,-44.40000000000005,4236.9
1,21:30,3664.0,7750.6,11414.6,74.70000000000005,3996.7
1,22:00,4008.2,7067.1,11075.3,5173.0,3271.5
1,22:30,3784.6000000000004,7538.2,11322.8,2661.4,3790.9
1,23:00,3712.2,7369.7,11081.9,600.5,3821.5
1,23:30,3226.8,6641.6,9868.4,-112.09999999999998,3601.7
2,00:00,3333.0,5739.1,9072.1,2914.7999999999997,2731.6
2,00:30,3466.2,5567.3,9033.5,3787.0,2486.8
2,01:00,3205.1,5998.0,9203.1,1567.6999999999998,3101.8999999999996
2,01:30,3276.3,6008.0,9284.3,2169.1,3063.2
2,02:00,3053.8,4954.9,8008.7,3751.3,2578.9
2,02:30,3007.8,5155.9,8163.7,2718.1000000000004,2799.1
2,03:00,2793.0,4662.3,7455.3,3374.0,2676.8
2,03:30,2810.1,4735.4,7545.5,3433.4,2701.2
2,04:00,2802.1,5393.0,8195.1,1461.5,2904.1
2,04:30,2925.5,5312.9,8238.4,2436.4,2797.3
