Dia,Hora,FOZIB_MW,PVLARRQ_MW,CPVPVL_MW,XESTR_MW,XTRIO_MW
1,00:00,694.0,108.82,380.96,2906.0,200.0
1,00:30,694.0,526.65,24.69,200.0,2992.0
1,01:00,694.0,628.74,32.7,200.0,3046.0
1,01:30,694.0,735.0,40.0,3082.0,200.0
1,02:00,694.0,157.0,630.0,3182.0,200.0
1,02:30,694.0,343.93,351.24,3286.0,200.0
1,03:00,694.0,157.0,656.0,3374.0,200.0
1,03:30,694.0,270.34,190.26,3456.0,200.0
1,04:00,694.0,1001.0,40.0,200.0,3476.0
1,04:30,694.0,680.0,800.0,200.0,3514.0
1,05:00,694.0,660.0,800.0,200.0,3568.0
1,05:30,694.0,1400.0,40.0,200.0,3692.0
1,06:00,694.0,489.32,19.15,200.0,3894.0
1,06:30,694.0,327.0,420.0,214.0,4000.0
1,07:00,694.0,642.38,34.67,700.0,4000.0
1,07:30,694.0,503.09,20.48,1500.0,4000.0
1,08:00,694.0,505.66,20.23,1500.0,4000.0
1,08:30,694.0,674.97,35.97,1500.0,4000.0
1,09:00,694.0,503.84,18.95,1500.0,4000.0
1,09:30,694.0,510.26,19.14,1500.0,4000.0
1,10:00,694.0,509.76,18.62,1069.0,4000.0
1,10:30,694.0,766.0,40.0,1040.0,4000.0
1,11:00,694.0,518.68,18.61,200.0,3708.0
1,11:30,694.0,780.0,40.0,200.0,3730.0
1,12:00,694.0,406.0,420.0,200.0,3266.0
1,12:30,694.0,111.61,468.96,3140.0,200.0
1,13:00,694.0,514.83,16.68,200.0,3612.0
1,13:30,694.0,871.0,40.0,200.0,3790.0
1,14:00,694.0,878.0,40.0,200.0,3738.0
1,14:30,694.0,396.63,202.78,200.0,3594.0
1,15:00,694.0,402.02,239.48,200.0,3538.0
1,15:30,694.0,132.79,372.14,200.0,3518.0
1,16:00,694.0,586.0,420.0,200.0,3640.0
1,16:30,694.0,591.0,420.0,3724.0,200.0
1,17:00,694.0,579.92,402.0,3800.0,200.0
1,17:30,694.0,585.97,402.92,4000.0,233.0
1,18:00,1169.0,607.0,420.0,4000.0,341.0
1,18:30,1171.0,611.0,420.0,4000.0,345.0
1,19:00,941.0,996.0,40.0,3848.0,200.0
1,19:30,398.0,1000.0,40.0,200.0,3562.0
1,20:00,243.0,1004.0,40.0,200.0,3198.0
1,20:30,243.0,1007.0,40.0,200.0,3162.0
1,21:00,243.0,1011.0,40.0,200.0,3144.0
1,21:30,243.0,1578.0,40.0,200.0,3014.0
1,22:00,694.0,1632.0,40.0,3080.0,200.0
1,22:30,694.0,1606.0,40.0,3014.0,200.0
1,23:00,694.0,1582.0,40.0,200.0,3038.0
1,23:30,694.0,1178.0,420.0,200.0,3052.0
2,00:00,694.0,512.0,420.0,200.0,3320.0
2,00:30,694.0,100.78,425.36,200.0,3022.0
2,01:00,694.0,907.0,40.0,200.0,2946.0
2,01:30,694.0,914.0,40.0,200.0,2702.0
2,02:00,694.0,921.0,40.0,2774.0,200.0
2,02:30,694.0,928.0,40.0,2848.0,200.0
2,03:00,694.0,1496.0,40.0,2914.0,200.0
2,03:30,694.0,796.0,800.0,200.0,2878.0
2,04:00,694.0,1532.0,40.0,1895.0,200.0
